Player,Span,Mat,Inns,NO,Runs,HS,Ave,100,50,0,Bat
B Mitchell (SA),1931-1949,15,26,4,1431,189*,65.04,5,5,0,1
JB Hobbs (Eng),1908-1930,54,87,5,4768,211,58.14,13,26,3,1
RB Simpson (Aus),1961-1968,17,28,1,1567,225,58.03,4,9,0,1
L Hutton (Eng),1938-1955,69,120,12,6236,364,57.74,16,30,4,1
V Sehwag (India),2002-2012,15,21,0,1159,254,55.19,3,5,3,1
H Sutcliffe (Eng),1924-1935,15,20,2,979,194,54.38,5,2,1,1
BC Broad (Eng),1986-1988,13,21,2,1023,162,53.84,5,3,1,1
ST Jayasuriya (SL),1996-2005,26,41,3,2002,340,52.68,6,8,5,1
EAB Rowan (SA),1948-1951,12,23,2,1106,236,52.66,3,6,2,1
MA Taylor (Aus),1989-1999,85,90,10,4160,334*,52,15,17,3,1
JL Langer (Aus),1993-2007,59,105,8,4879,250,50.29,15,17,5,1
WM Lawry (Aus),1961-1971,42,74,9,3255,210,50.07,9,18,4,1
WM Woodfull (Aus),1926-1934,22,35,3,1597,161,49.9,6,8,4,1
Sadiq Mohammad (Pak),1969-1976,15,26,1,1232,166,49.28,4,4,0,1
Saeed Anwar (Pak),1990-2001,42,67,1,3243,188*,49.13,10,19,7,1
DC Boon (Aus),1985-1993,21,27,3,1162,184*,48.41,4,5,3,1
DL Amiss (Eng),1974-1977,19,31,4,1305,188,48.33,4,4,5,1
SM Gavaskar (India),1971-1987,110,186,9,8511,221,48.08,29,35,11,1
GC Smith (ICC/SA),2002-2014,96,128,7,5806,277,47.98,19,23,8,1
CC Hunte (WI),1958-1967,40,71,6,3100,260,47.69,8,12,3,1
M Vijay (India),2009-2015,26,44,1,2037,167,47.37,5,11,3,1
MJ Slater (Aus),1993-2001,62,66,0,3100,219,46.96,8,14,5,1
HL Collins (Aus),1920-1926,16,24,1,1072,203,46.6,4,3,0,1
IR Redpath (Aus),1968-1976,16,28,1,1253,135,46.4,5,5,1,1
AF Rae (WI),1948-1953,15,24,2,1016,109,46.18,4,4,1,1
TL Goddard (SA),1963-1967,17,32,3,1334,112,46,1,11,0,1
CH Gayle (WI),2001-2014,75,125,5,5479,333,45.65,12,27,8,1
KC Wessels (Aus/SA),1982-1993,21,30,2,1276,179,45.57,3,5,1,1
CJL Rogers (Aus),2008-2015,23,40,1,1764,173,45.23,5,11,1,1
G Gambhir (India),2004-2012,42,75,3,3249,206,45.12,7,18,5,1
RJ Shastri (India),1982-1992,14,22,1,945,206,45,3,3,1,1
CG Greenidge (WI),1974-1991,92,151,15,6116,226,44.97,15,26,8,1
B Sutcliffe (NZ),1949-1958,15,28,1,1214,137*,44.96,3,6,0,1
DJ McGlew (SA),1952-1962,31,57,5,2316,255*,44.53,7,10,4,1
GA Gooch (Eng),1978-1995,95,176,5,7598,333,44.43,18,39,8,1
G Kirsten (SA),1994-2001,51,72,8,2841,275,44.39,7,14,8,1
Mohsin Khan (Pak),1982-1986,26,42,5,1642,200,44.37,6,6,3,1
G Boycott (Eng),1964-1981,67,117,12,4611,142*,43.91,13,27,8,1
GM Turner (NZ),1969-1983,24,40,3,1610,259,43.51,4,7,0,1
MH Richardson (NZ),2000-2004,31,54,2,2261,145,43.48,3,16,1,1
Aamer Sohail (Pak),1992-1998,17,30,1,1244,205,42.89,3,5,2,1
RC Fredericks (WI),1969-1977,57,105,7,4194,169,42.79,8,25,7,1
AN Cook (Eng),2007-2016,42,74,2,3043,263,42.26,8,15,4,1
ME Trescothick (Eng),2002-2006,51,99,7,3861,219,41.96,9,18,11,1
SR Watson (Aus),2009-2013,27,50,2,2006,126,41.79,2,15,3,1
Hanif Mohammad (Pak),1954-1969,32,56,2,2248,337,41.62,6,9,4,1
TWM Latham (NZ),2014-2016,16,22,1,854,137,40.66,3,3,1,1
G Pullar (Eng),1959-1963,20,36,3,1340,175,40.6,2,8,1,1
CC McDonald (Aus),1952-1961,42,73,3,2816,170,40.22,5,15,2,1
HW Taylor (SA),1912-1928,13,23,0,923,109,40.13,2,6,0,1
RB McCosker (Aus),1975-1980,13,21,3,719,127,39.94,2,4,3,1
Mohammad Hafeez (Pak),2006-2015,33,63,5,2313,197,39.87,5,10,3,1
HH Gibbs (SA),2001-2007,19,29,0,1156,196,39.86,3,5,3,1
MH Mankad (India),1947-1956,21,34,1,1315,231,39.84,5,1,4,1
JH Edrich (Eng),1967-1976,19,35,2,1301,164,39.42,2,8,2,1
Majid Khan (Pak),1973-1979,22,41,2,1524,167,39.07,4,4,3,1
Tamim Iqbal (Ban),2008-2015,37,70,1,2696,206,39.07,5,17,5,1
KR Stackpole (Aus),1969-1974,24,45,3,1595,142,37.97,4,9,3,1
MS Atapattu (SL),1997-2007,47,83,7,2869,207*,37.75,9,11,12,1
BM Laird (Aus),1979-1982,11,21,1,755,92,37.75,0,6,0,1
AJ Strauss (Eng),2006-2012,67,116,4,4195,169,37.45,11,18,10,1
PE Richardson (Eng),1956-1963,33,54,0,2021,126,37.42,5,9,1,1
FDM Karunaratne (SL),2012-2015,19,35,1,1250,186,36.76,3,4,3,1
JHW Fingleton (Aus),1932-1938,14,24,1,835,118,36.3,3,3,3,1
FM Engineer (India),1967-1975,12,23,0,825,121,35.86,1,4,2,1
CA Roach (WI),1930-1935,11,20,0,709,209,35.45,2,4,3,1
MA Atherton (Eng),1990-2001,53,92,2,3178,185*,35.31,8,13,9,1
W Jaffer (India),2000-2008,24,39,0,1358,212,34.82,4,6,1,1
DL Haynes (WI),1980-1994,28,43,7,1241,143*,34.47,2,6,1,1
ML Hayden (Aus),1996-2009,29,37,3,1167,137,34.32,2,6,7,1
BA Young (NZ),1994-1999,32,47,3,1491,267*,33.88,2,8,4,1
AC MacLaren (Eng),1894-1909,23,35,2,1109,124,33.6,2,6,2,1
JG Wright (NZ),1978-1993,42,74,3,2366,138,33.32,6,9,4,1
NT Paranavitana (SL),2009-2012,27,50,5,1495,111,33.22,2,10,8,1
RS Mahanama (SL),1987-1995,30,52,0,1721,153,33.09,3,9,3,1
G Fowler (Eng),1983-1985,16,27,0,890,201,32.96,3,3,3,1
GR Marsh (Aus),1985-1992,42,58,3,1805,138,32.81,3,8,2,1
WG Grace (Eng),1882-1899,16,24,1,749,170,32.56,1,4,1,1
VT Trumper (Aus),1902-1912,21,33,0,1062,159,32.18,3,4,3,1
Mudassar Nazar (Pak),1977-1989,43,66,3,1996,124,31.68,4,10,6,1
ML Jaisimha (India),1961-1965,14,24,1,719,129,31.26,2,2,3,1
P Roy (India),1951-1960,31,60,4,1750,150,31.25,2,8,9,1
GM Wood (Aus),1978-1985,31,54,3,1576,172,30.9,4,5,7,1
KC Brathwaite (WI),2011-2016,15,28,0,847,116,30.25,2,3,2,1
DA Warner (Aus),2011-2016,23,23,1,659,122*,29.95,2,2,1,1
AC Hudson (SA),1992-1997,25,38,2,1074,146,29.83,2,8,5,1
Imran Farhat (Pak),2001-2010,20,38,1,1097,117*,29.64,2,5,1,1
SL Campbell (WI),1995-2001,37,69,3,1941,208,29.4,3,11,4,1
MA Butcher (Eng),1997-2002,25,48,1,1376,116,29.27,2,6,1,1
AN Petersen (SA),2010-2015,26,27,2,730,182,29.2,1,1,1,1
S Wettimuny (SL),1982-1987,19,35,0,990,190,28.28,2,4,5,1
Khurram Manzoor (Pak),2009-2014,13,23,1,619,146,28.13,1,4,1,1
K Srikkanth (India),1986-1992,15,27,2,699,94,27.96,0,5,3,1
IJ Siedle (SA),1929-1936,10,20,0,552,59,27.6,0,3,2,1
JKC Holt (WI),1954-1959,13,23,0,625,166,27.17,1,2,2,1
MJ Guptill (NZ),2009-2016,24,30,0,785,156,26.16,1,5,4,1
TG McIntosh (NZ),2008-2011,16,26,2,623,136,25.95,2,2,4,1
GT Dowling (NZ),1962-1972,27,52,0,1340,129,25.76,1,7,4,1
Salman Butt (Pak),2004-2007,13,24,0,617,108,25.7,1,4,4,1
SS Das (India),2001-2002,16,28,0,715,84,25.53,0,5,3,1
TJ Franklin (NZ),1983-1991,19,33,1,765,101,23.9,1,4,2,1
MJ Horne (NZ),1997-2003,14,21,0,493,100,23.47,1,1,1,1
DD Ebrahim (Zim),2001-2005,10,20,0,464,71,23.2,0,5,4,1
AC Bannerman (Aus),1880-1893,17,29,1,627,91,22.39,0,5,3,1
GW Flower (Zim),1993-2000,30,52,1,1125,156*,22.05,2,4,10,1
Hannan Sarkar (Ban),2002-2004,15,28,0,612,76,21.85,0,5,5,1
AB Barath (WI),2011-2012,11,21,0,457,64,21.76,0,3,2,1
WU Tharanga (SL),2005-2015,12,22,0,463,92,21.04,0,2,3,1
Javed Omar (Ban),2001-2007,23,44,1,839,71,19.51,0,4,4,1
H Sutcliffe (Eng),1924-1935,40,63,7,3543,176,63.26,11,21,1,2
DL Amiss (Eng),1972-1976,20,38,4,1971,262*,57.97,7,5,1,2
DA Warner (Aus),2011-2016,49,69,3,3819,253,57.86,14,18,4,2
G Boycott (Eng),1965-1982,41,74,11,3480,246*,55.23,9,15,2,2
RB Simpson (Aus),1960-1967,24,42,3,2097,311,53.76,4,10,3,2
ML Hayden (Aus),1994-2008,85,137,10,6601,203,51.97,25,20,7,2
EJ Barlow (SA),1961-1970,23,43,2,2081,201,50.75,5,12,2,2
SM Katich (Aus),2008-2010,33,61,3,2928,157,50.48,8,17,2,2
V Sehwag (ICC/India),2002-2013,82,140,4,6770,319,49.77,19,23,12,2
GM Turner (NZ),1969-1976,15,27,2,1218,223*,48.72,3,5,1,2
JH Edrich (Eng),1963-1975,28,47,3,2129,310*,48.38,6,6,1,2
HH Gibbs (SA),1998-2008,51,81,5,3672,228,48.31,9,15,6,2
B Mitchell (SA),1929-1935,12,22,2,959,128,47.95,2,7,1,2
AJ Strauss (Eng),2004-2006,26,50,2,2283,147,47.56,9,6,4,2
AN Cook (Eng),2006-2015,78,133,8,5942,294,47.53,16,30,4,2
MC Cowdrey (Eng),1956-1975,22,34,2,1498,182,46.81,5,5,3,2
R Dravid (India),1996-2011,14,20,4,735,146*,45.93,4,1,0,2
CG Greenidge (WI),1974-1977,16,31,1,1372,134,45.73,4,8,3,2
AJ Stewart (Eng),1992-1999,43,73,2,3231,190,45.5,8,17,4,2
MP Vaughan (Eng),2002-2008,34,66,3,2857,197,45.34,10,7,5,2
RT Robinson (Eng),1984-1988,20,34,4,1349,175,44.96,4,4,3,2
Mudassar Nazar (Pak),1976-1986,27,43,3,1791,231,44.77,5,5,1,2
GC Smith (SA),2004-2014,54,57,5,2319,234,44.59,4,12,3,2
DL Haynes (WI),1978-1991,94,158,18,6231,184,44.5,16,33,9,2
WH Ponsford (Aus),1926-1934,17,27,2,1109,266,44.36,3,3,0,2
NS Sidhu (India),1983-1999,41,61,1,2648,201,44.13,7,13,6,2
C Washbrook (Eng),1937-1951,32,59,5,2358,195,43.66,6,10,1,2
W Bardsley (Aus),1909-1926,25,34,3,1347,193*,43.45,4,7,3,2
JG Wright (NZ),1979-1993,41,70,3,2894,185,43.19,6,14,3,2
WM Lawry (Aus),1961-1971,28,49,3,1979,205,43.02,4,9,2,2
MA Atherton (Eng),1990-2000,55,99,4,4073,151,42.87,7,31,8,2
BB McCullum (NZ),2004-2014,18,28,2,1113,225,42.8,2,5,1,2
IR Redpath (Aus),1964-1974,17,31,2,1239,159*,42.72,1,10,1,2
DC Boon (Aus),1985-1993,28,36,2,1452,200,42.7,4,5,2,2
AR Morris (Aus),1946-1955,38,64,1,2666,206,42.31,8,10,3,2
Shoaib Mohammad (Pak),1983-1995,22,30,4,1086,203*,41.76,4,2,3,2
GW Flower (Zim),1992-2000,18,32,2,1248,201*,41.6,3,4,2,2
RW Barber (Eng),1961-1966,18,28,1,1122,185,41.55,1,8,1,2
BW Luckhurst (Eng),1970-1974,12,20,2,735,131,40.83,3,2,2,2
TM Dilshan (SL),2009-2013,25,46,2,1788,193,40.63,6,8,3,2
JB Stollmeyer (WI),1939-1955,30,52,3,1926,160,39.3,3,11,2,2
MJ Slater (Aus),1993-2001,60,63,6,2208,168,38.73,6,7,4,2
Shahid Afridi (Pak),1998-2005,14,21,0,813,141,38.71,2,5,2,2
ME Trescothick (Eng),2000-2001,19,36,2,1311,122,38.55,2,9,1,2
CJ Tavare (Eng),1982-1984,12,21,1,767,109,38.35,1,6,1,2
AN Petersen (SA),2010-2015,30,34,0,1298,156,38.17,4,7,2,2
S Dhawan (India),2013-2015,16,26,1,951,187,38.04,3,1,3,2
GM Wood (Aus),1978-1985,23,38,1,1382,126,37.35,4,7,0,2
G Kirsten (SA),1993-2002,48,72,3,2555,180,37.02,6,13,5,2
NJ Contractor (India),1955-1962,24,39,0,1420,108,36.41,1,11,2,2
MA Taylor (Aus),1989-1999,86,96,3,3365,219,36.18,4,23,2,2
Salman Butt (Pak),2005-2010,18,30,0,1076,122,35.86,2,6,2,2
S Ramesh (India),1999-2001,11,21,1,716,110,35.8,1,4,2,2
ST Jayasuriya (SL),1994-2007,54,91,4,3066,253,35.24,5,14,5,2
JK Silva (SL),2013-2015,19,32,0,1127,125,35.21,1,9,2,2
MC Carew (WI),1963-1972,16,30,2,981,109,35.03,1,4,1,2
GR Marsh (Aus),1985-1992,27,33,4,1014,118,34.96,1,7,1,2
Aamer Sohail (Pak),1993-2000,21,30,1,1001,160,34.51,1,6,2,2
Imtiaz Ahmed (Pak),1954-1962,16,29,1,964,135,34.42,2,5,2,2
CPS Chauhan (India),1969-1981,36,60,2,1994,97,34.37,0,16,5,2
WW Hinds (WI),2001-2005,13,20,0,682,113,34.1,2,3,1,2
Imran Farhat (Pak),2002-2013,20,38,1,1260,128,34.05,1,9,2,2
MS Atapattu (SL),1997-2005,22,34,3,1053,108,33.96,1,5,2,2
W Rhodes (Eng),1904-1921,23,38,3,1185,179,33.85,1,8,3,2
JW Burke (Aus),1956-1959,18,33,6,895,189,33.14,1,5,0,2
AD Gaekwad (India),1976-1985,29,49,3,1441,201,31.32,1,8,2,2
A Turner (Aus),1975-1977,13,25,1,745,136,31.04,1,3,2,2
Rameez Raja (Pak),1987-1997,32,49,3,1425,88,30.97,0,13,5,2
K Srikkanth (India),1981-1991,28,45,1,1363,123,30.97,2,7,4,2
UC Hathurusingha (SL),1991-1996,24,41,1,1232,83,30.8,0,8,1,2
BA Edgar (NZ),1978-1986,32,55,3,1567,129,30.13,2,11,6,2
FM Engineer (India),1965-1975,15,25,0,752,109,30.08,1,5,3,2
Mohsin Khan (Pak),1979-1986,17,29,1,813,129,29.03,1,3,0,2
Taufeeq Umar (Pak),2002-2014,27,50,3,1363,236,29,2,5,6,2
J Arun Lal (India),1982-1989,13,24,1,649,93,28.21,0,6,1,2
TL Goddard (SA),1955-1970,22,42,2,1126,99,28.15,0,7,3,2
SC Williams (WI),1994-2002,17,29,2,753,128,27.88,1,2,4,2
J Dyson (Aus),1980-1984,17,30,5,697,127*,27.88,1,2,3,2
BC Broad (Eng),1984-1989,12,23,0,638,116,27.73,1,3,2,2
HD Rutherford (NZ),2013-2015,14,25,1,663,171,27.62,1,1,2,2
Sadiq Mohammad (Pak),1969-1981,26,46,0,1248,105,27.13,1,5,6,2
PV Simmons (WI),1988-1994,13,23,1,596,110,27.09,1,2,0,2
MJ Horne (NZ),1997-2003,16,26,1,673,133,26.92,1,3,1,2
EDAS McMorris (WI),1958-1966,13,21,0,564,125,26.85,1,3,1,2
MJ Guptill (NZ),2009-2016,25,30,0,805,97,26.83,0,5,2,2
JHB Waite (SA),1951-1954,14,24,1,606,76,26.34,0,4,3,2
JM Brearley (Eng),1976-1981,16,29,1,693,91,24.75,0,3,2,2
DS Smith (WI),2003-2015,27,45,0,1109,108,24.64,1,5,4,2
MD Bell (NZ),1999-2008,14,24,1,566,105,24.6,1,3,5,2
Alimuddin (Pak),1954-1962,18,29,2,663,103*,24.55,1,5,4,2
D Ganga (WI),1999-2008,28,50,2,1170,135,24.37,1,5,6,2
Imrul Kayes (Ban),2008-2015,20,38,1,898,150,24.27,1,3,1,2
CH Gayle (WI),2000-2009,17,26,0,589,81,22.65,0,5,5,2
TE Bailey (Eng),1954-1959,12,20,0,442,80,22.1,0,1,3,2
KOA Powell (WI),2011-2014,14,25,0,529,134,21.16,1,0,2,2
TR Gripper (Zim),1999-2003,14,28,0,508,83,18.14,0,3,3,2
Javed Omar (Ban),2003-2005,13,23,0,412,119,17.91,1,1,1,2
DG Bradman (Aus),1930-1948,40,56,7,5078,334,103.63,20,10,5,3
KF Barrington (Eng),1960-1967,27,40,6,2626,172,77.23,13,7,0,3
WR Hammond (Eng),1928-1937,37,52,6,3440,336*,74.78,14,4,1,3
GA Headley (WI),1930-1948,19,32,3,2064,270*,71.17,10,4,1,3
IVA Richards (WI),1976-1986,45,59,2,3508,291,61.54,12,14,2,3
BC Lara (WI),1992-2006,44,66,4,3749,400*,60.46,9,13,4,3
CG Macartney (Aus),1908-1926,21,28,2,1543,170,59.34,6,6,0,3
AI Kallicharran (WI),1972-1976,16,25,2,1334,158,58,5,6,3,3
HM Amla (SA),2006-2016,71,117,11,5959,311*,56.21,21,26,6,3
KC Sangakkara (SL),2000-2015,105,181,13,9327,287,55.51,28,42,10,3
RT Ponting (Aus),1996-2011,107,187,18,9337,257,55.24,30,40,9,3
JF Reid (NZ),1981-1986,16,24,3,1147,180,54.61,5,2,2,3
FMM Worrell (WI),1950-1954,15,23,2,1133,237,53.95,3,6,1,3
KS Williamson (NZ),2011-2016,34,64,6,3072,242*,52.96,10,13,2,3
DPMD Jayawardene (SL),1998-2013,18,20,2,953,242,52.94,2,6,1,3
RB Kanhai (WI),1957-1973,57,90,1,4689,256,52.68,13,20,4,3
GN Yallop (Aus),1976-1984,14,22,1,1101,268,52.42,3,3,0,3
CL Walcott (WI),1948-1958,15,23,1,1141,155,51.86,4,5,0,3
Younis Khan (Pak),2000-2014,46,78,4,3836,313,51.83,12,11,7,3
ER Dexter (Eng),1959-1968,38,57,3,2798,205,51.81,6,16,3,3
UT Khawaja (Aus),2011-2016,12,22,2,1030,174,51.5,4,3,1,3
WJ Edrich (Eng),1938-1954,25,41,1,2049,219,51.22,6,10,1,3
IM Chappell (Aus),1964-1980,54,91,7,4279,196,50.94,13,22,7,3
GS Ballance (Eng),2014-2015,14,25,2,1169,156,50.82,4,6,3,3
R Dravid (ICC/India),1996-2012,123,204,16,9300,270,49.46,23,45,7,3
TW Graveney (Eng),1951-1969,27,37,4,1632,258,49.45,4,3,1,3
DI Gower (Eng),1981-1990,35,56,3,2619,215,49.41,8,10,1,3
DM Jones (Aus),1986-1988,17,28,4,1167,210,48.62,3,5,3,3
M Amarnath (India),1976-1988,43,66,5,2907,138,47.65,8,18,6,3
Shoaib Mohammad (Pak),1985-1992,16,22,1,998,163,47.52,2,7,1,3
CA Pujara (India),2010-2015,28,44,2,1988,206*,47.33,6,5,1,3
Ijaz Ahmed (Pak),1995-2000,25,39,2,1750,211,47.29,9,4,3,3
VVS Laxman (India),1999-2011,21,33,1,1510,281,47.18,4,8,2,3
RB Richardson (WI),1983-1994,67,107,7,4711,194,47.11,14,21,5,3
AR Border (Aus),1979-1990,21,36,3,1554,163,47.09,4,8,1,3
RN Harvey (Aus),1949-1963,52,79,5,3454,205,46.67,12,14,4,3
SP Fleming (NZ),1994-2008,37,61,6,2522,274*,45.85,5,10,6,3
DC Boon (Aus),1985-1996,66,111,14,4412,164*,45.48,13,20,11,3
MC Cowdrey (Eng),1959-1975,25,36,1,1565,160,44.71,5,9,2,3
IR Redpath (Aus),1964-1975,13,23,3,894,92,44.7,0,9,1,3
Saeed Ahmed (Pak),1958-1969,33,56,2,2370,172,43.88,5,11,2,3
IJL Trott (Eng),2009-2013,43,68,4,2791,184,43.6,6,15,4,3
Azhar Ali (Pak),2010-2015,35,62,4,2520,157,43.44,8,15,5,3
GS Chappell (Aus),1973-1983,24,38,0,1649,204,43.39,5,6,5,3
BE Congdon (NZ),1966-1977,37,62,6,2414,176,43.1,6,16,4,3
JH Kallis (SA),1997-2009,45,73,8,2768,160,42.58,6,15,5,3
AH Jones (NZ),1987-1995,37,66,5,2590,186,42.45,6,10,2,3
PBH May (Eng),1951-1959,28,46,1,1891,138,42.02,5,9,4,3
JL Langer (Aus),1993-2001,37,60,2,2413,223,41.6,7,11,4,3
DM Bravo (WI),2010-2016,20,34,1,1361,218,41.24,2,9,1,3
N Hussain (Eng),1996-2003,37,61,7,2226,155,41.22,6,12,4,3
C Hill (Aus),1898-1912,39,63,2,2514,191,41.21,5,14,7,3
Qasim Umar (Pak),1983-1986,22,36,2,1401,210,41.2,3,5,2,3
HA Gomes (WI),1976-1987,19,28,6,896,143,40.72,2,5,1,3
RM Cowper (Aus),1964-1968,14,21,1,811,143,40.55,2,5,2,3
MW Gatting (Eng),1981-1995,21,37,3,1372,207,40.35,4,6,6,3
DB Vengsarkar (India),1978-1985,49,74,5,2763,159,40.04,8,11,8,3
Zaheer Abbas (Pak),1971-1980,35,60,4,2239,274,39.98,5,9,4,3
RR Sarwan (WI),2001-2011,55,94,1,3716,291,39.95,12,18,6,3
AJ Stewart (Eng),1990-2000,18,31,4,1066,173,39.48,2,4,0,3
B Mitchell (SA),1929-1949,13,23,1,860,120,39.09,1,8,1,3
Majid Khan (Pak),1967-1983,16,21,0,816,110,38.85,1,6,1,3
MS Sinclair (NZ),1999-2010,17,28,2,1006,214,38.69,3,1,1,3
SV Manjrekar (India),1989-1996,23,36,3,1271,218,38.51,2,5,1,3
MW Goodwin (Zim),1998-2000,18,32,3,1109,148*,38.24,2,7,4,3
MA Butcher (Eng),1998-2004,41,73,5,2598,173*,38.2,5,17,7,3
IR Bell (Eng),2005-2015,28,48,2,1748,235,38,2,13,3,3
JH Edrich (Eng),1965-1975,25,38,2,1368,115*,38,3,8,3,3
WL Murdoch (Aus/Eng),1880-1892,16,21,3,684,211,38,2,0,2,3
MP Vaughan (Eng),2000-2008,22,36,1,1330,166,38,5,2,3,3
SR Watson (Aus),2012-2015,14,27,1,987,176,37.96,2,6,3,3
FE Woolley (Eng),1921-1934,17,24,2,832,134*,37.81,2,4,4,3
JA Rudolph (SA),2003-2006,19,32,3,1074,154*,37.03,3,4,5,3
CJ Tavare (Eng),1980-1984,12,21,0,771,149,36.71,1,5,3,3
WJ Cronje (SA),1992-1996,20,31,3,1015,135,36.25,3,2,3,3
AP Gurusinha (SL),1986-1996,32,54,7,1702,143,36.21,4,4,3,3
GP Howarth (NZ),1976-1984,20,33,1,1148,123,35.87,4,2,3,3
WW Hinds (WI),2000-2003,13,21,0,742,165,35.33,2,4,3,3
LG Rowe (WI),1972-1980,14,23,1,774,214,35.18,3,3,2,3
EAB Rowan (SA),1935-1939,11,21,2,665,89*,35,0,5,2,3
DW Randall (Eng),1977-1984,14,24,2,768,174,34.9,2,4,5,3
GA Hick (Eng),1991-1998,20,35,2,1141,110,34.57,2,7,4,3
S Chanderpaul (WI),1995-2001,16,27,2,844,137*,33.76,1,5,2,3
ADR Campbell (Zim),1992-2002,23,36,1,1180,99,33.71,0,10,2,3
PR Umrigar (India),1951-1960,25,36,3,1092,223,33.09,2,5,4,3
AL Wadekar (India),1967-1974,34,59,1,1899,143,32.74,1,13,5,3
BW Sinclair (NZ),1963-1965,14,25,0,817,138,32.68,2,3,3,3
Junaid Siddique (Ban),2008-2010,12,23,0,742,106,32.26,1,5,0,3
NCL O'Neill (Aus),1961-1964,12,21,2,608,88,32,0,5,3,3
Habibul Bashar (Ban),2000-2008,36,68,1,2085,113,31.11,2,15,3,3
Yasir Hameed (Pak),2003-2007,12,21,2,570,91,30,0,4,0,3
JT Tyldesley (Eng),1899-1909,26,44,0,1287,112,29.25,2,9,4,3
Waqar Hasan (Pak),1952-1955,15,22,0,634,97,28.81,0,5,0,3
